Open,High,Low,Close,Inflation,country,data_coverage_previous_12_months_food,total_food_price_increase_since_start_date,maximum_food_drawdown,average_monthly_food_price_correlation_between_markets,average_annual_food_price_correlation_between_markets,month,inflation_velocity,rolling_avg_3m,lag_1,lag_2,lag_3,FCAI,crisis_next_3m,inflation_sq,price_spread,close_open_ratio,inflation_volatility,lag_diff,price_vs_rolling,fcai_inflation,month_sin,month_cos,inflation_vel_sq,vulnerability_cluster
0.83,0.84,0.81,0.83,9.62,0,74.93,167.97,-40.67,0.62,0.87,10,0.5299999999999994,10.246666666666664,9.09,12.03,15.5,7.018333333333333,0,92.54439999999998,0.029999999999999916,1.0,76.28659999999999,-2.9399999999999995,-9.416666666666664,67.51636666666666,-0.8660254037844386,0.5000000000000001,0.2808999999999993,0
0.84,0.85,0.83,0.83,7.0,0,74.93,167.97,-40.67,0.62,0.87,11,-2.619999999999999,8.57,9.62,9.09,12.03,4.428000000000001,0,49.0,0.020000000000000018,0.9880952380952381,55.51,0.5299999999999994,-7.74,30.996000000000006,-0.5000000000000004,0.8660254037844384,6.864399999999996,0
0.82,0.83,0.81,0.82,4.09,0,74.93,167.97,-40.67,0.62,0.87,12,-2.91,6.903333333333333,7.0,9.62,9.09,2.552666666666666,0,16.728099999999998,0.019999999999999907,1.0,32.433699999999995,-2.619999999999999,-6.083333333333333,10.440406666666664,-2.4492935982947064e-16,1.0,8.468100000000002,0
0.82,0.83,0.81,0.82,4.97,0,74.93,167.97,-40.67,0.62,0.87,1,0.8799999999999999,5.353333333333333,4.09,7.0,9.62,3.8196666666666665,0,24.700899999999997,0.019999999999999907,1.0,39.412099999999995,-2.91,-4.533333333333332,18.983743333333333,0.49999999999999994,0.8660254037844387,0.7743999999999999,0
0.82,0.83,0.81,0.82,5.92,0,74.93,167.97,-40.67,0.62,0.87,2,0.9500000000000002,4.993333333333333,4.97,4.09,7.0,4.243666666666667,0,35.0464,0.019999999999999907,1.0,46.9456,0.8799999999999999,-4.173333333333333,25.122506666666666,0.8660254037844386,0.5000000000000001,0.9025000000000003,0
0.83,0.84,0.82,0.83,4.84,0,74.93,167.97,-40.67,0.62,0.87,3,-1.08,5.243333333333333,5.92,4.97,4.09,3.1446666666666667,0,23.4256,0.020000000000000018,1.0,38.3812,0.9500000000000002,-4.413333333333333,15.220186666666667,1.0,6.123233995736766e-17,1.1664,0
0.83,0.84,0.82,0.83,3.6,0,74.93,167.97,-40.67,0.62,0.87,4,-1.2399999999999998,4.786666666666667,4.84,5.92,4.97,2.385333333333333,0,12.96,0.020000000000000018,1.0,28.548,-1.08,-3.956666666666667,8.5872,0.8660254037844387,-0.4999999999999998,1.5375999999999994,0
0.83,0.84,0.82,0.83,2.81,0,74.93,167.97,-40.67,0.62,0.87,5,-0.79,3.75,3.6,4.84,5.92,1.918,0,7.896100000000001,0.020000000000000018,1.0,22.2833,-1.2399999999999998,-2.92,5.38958,0.49999999999999994,-0.8660254037844387,0.6241000000000001,0
0.83,0.84,0.82,0.84,4.56,0,74.93,167.97,-40.67,0.62,0.87,6,1.7499999999999996,3.6566666666666654,2.81,3.6,4.84,3.536333333333333,0,20.793599999999998,0.020000000000000018,1.0120481927710843,36.160799999999995,-0.79,-2.8166666666666655,16.125679999999996,1.2246467991473532e-16,-1.0,3.0624999999999987,0
0.84,0.86,0.84,0.86,4.29,0,74.93,167.97,-40.67,0.62,0.87,7,-0.2699999999999996,3.8866666666666663,4.56,2.81,3.6,2.841333333333333,0,18.4041,0.020000000000000018,1.0238095238095237,34.0197,1.7499999999999996,-3.0266666666666664,12.189319999999999,-0.4999999999999997,-0.8660254037844388,0.07289999999999977,0
0.88,0.89,0.87,0.88,7.56,0,74.93,167.97,-40.67,0.62,0.87,8,3.27,5.47,4.29,4.56,2.81,5.855,0,57.1536,0.020000000000000018,1.0,59.950799999999994,-0.2699999999999996,-4.59,44.2638,-0.8660254037844384,-0.5000000000000004,10.6929,0
0.9,0.91,0.89,0.9,9.55,0,74.93,167.97,-40.67,0.62,0.87,9,1.990000000000001,7.133333333333334,7.56,4.29,4.56,6.798666666666668,0,91.20250000000001,0.020000000000000018,1.0,75.7315,3.2699999999999996,-6.233333333333333,64.92726666666668,-1.0,-1.8369701987210297e-16,3.960100000000004,0
0.92,0.93,0.91,0.93,12.45,0,74.93,167.97,-40.67,0.62,0.87,10,2.8999999999999986,9.853333333333332,9.55,7.56,4.29,9.065666666666663,0,155.00249999999997,0.020000000000000018,1.0108695652173914,98.7285,1.990000000000001,-8.923333333333332,112.86754999999995,-0.8660254037844386,0.5000000000000001,8.409999999999991,0
0.96,0.97,0.95,0.96,15.54,0,74.93,167.97,-40.67,0.62,0.87,11,3.09,12.513333333333334,12.45,9.55,7.56,11.199666666666666,0,241.49159999999998,0.020000000000000018,1.0,123.23219999999999,2.8999999999999986,-11.553333333333335,174.04281999999998,-0.5000000000000004,0.8660254037844384,9.5481,0
0.97,0.98,0.96,0.97,18.81,0,74.93,167.97,-40.67,0.62,0.87,12,3.27,15.6,15.54,12.45,9.55,13.506,0,353.81609999999995,0.020000000000000018,1.0,149.1633,3.09,-14.629999999999999,254.04786,-2.4492935982947064e-16,1.0,10.6929,0
0.99,1.0,0.98,0.99,20.19,0,74.93,167.97,-40.67,0.62,0.87,1,1.3800000000000026,18.18,18.81,15.54,12.45,14.145,0,407.63610000000006,0.020000000000000018,1.0,160.10670000000002,3.2699999999999996,-17.19,285.58755,0.49999999999999994,0.8660254037844387,1.904400000000007,0
0.99,1.0,0.99,0.99,20.15,0,74.93,167.97,-40.67,0.62,0.87,2,-0.0400000000000027,19.71666666666667,20.19,18.81,15.54,14.006333333333332,0,406.0224999999999,0.010000000000000009,1.0,159.78949999999998,1.3800000000000026,-18.72666666666667,282.2276166666666,0.8660254037844386,0.5000000000000001,0.001600000000000216,0
1.0,1.0,0.99,1.0,20.4,0,74.93,167.97,-40.67,0.62,0.87,3,0.25,20.246666666666663,20.15,20.19,18.81,14.324333333333332,0,416.15999999999997,0.010000000000000009,1.0,161.772,-0.0400000000000027,-19.246666666666663,292.21639999999996,1.0,6.123233995736766e-17,0.0625,0
1.0,1.01,0.99,0.99,19.03,0,74.93,167.97,-40.67,0.62,0.87,4,-1.3699999999999974,19.86,20.4,20.15,20.19,13.076,0,362.14090000000004,0.020000000000000018,0.99,150.9079,0.25,-18.87,248.83628000000002,0.8660254037844387,-0.4999999999999998,1.876899999999993,0
0.98,0.99,0.97,0.98,18.83,0,74.93,167.97,-40.67,0.62,0.87,5,-0.2000000000000028,19.42,19.03,20.4,20.15,13.239,0,354.5688999999999,0.020000000000000018,1.0,149.32189999999997,-1.3699999999999974,-18.44,249.29037,0.49999999999999994,-0.8660254037844387,0.04000000000000112,0
0.98,0.99,0.98,0.98,17.1,0,74.93,167.97,-40.67,0.62,0.87,6,-1.7299999999999969,18.320000000000004,18.83,19.03,20.4,11.695000000000004,0,292.41,0.010000000000000009,1.0,135.603,-0.20000000000000284,-17.340000000000003,199.98450000000008,1.2246467991473532e-16,-1.0,2.992899999999989,0
0.98,0.98,0.97,0.98,13.25,0,74.93,167.97,-40.67,0.62,0.87,7,-3.8500000000000014,16.393333333333334,17.1,18.83,19.03,8.748666666666667,0,175.5625,0.010000000000000009,1.0,105.07249999999999,-1.7299999999999969,-15.413333333333334,115.91983333333333,-0.4999999999999997,-0.8660254037844388,14.82250000000001,0
0.98,0.98,0.97,0.98,10.71,0,74.93,167.97,-40.67,0.62,0.87,8,-2.539999999999999,13.686666666666667,13.25,17.1,18.83,7.330333333333335,0,114.70410000000003,0.010000000000000009,1.0,84.9303,-3.8500000000000014,-12.706666666666667,78.50787000000003,-0.8660254037844384,-0.5000000000000004,6.451599999999996,0
